pd_itm_no,pd_itm_no_ma,pd_grp_no,pd_abrv_nm,lseg_key,ter,replication,base_market,base_asset,hedge_type,charge_rt_final,charge_rt_source
KR7433850005,A433850,ETF,PLUS TDF2030액티브,433850,,,,,,,
KR7433970001,A433970,ETF,KODEX TDF2030액티브 적격,433970,0.2,실물(액티브),국내&해외,혼합자산,환노출,0.2,LSEG
KR7433980000,A433980,ETF,KODEX TDF2040액티브 적격,433980,0.25,실물(액티브),국내&해외,혼합자산,환노출,0.25,LSEG
KR70192S0000,A0192S0,ETF,SOL 코스피200채권혼합50,0192S0,,,,,,,
KR70193G0003,A0193G0,ETF,KoAct 코스피액티브,0193G0,,,,,,,
KR70193M0005,A0193M0,ETF,BNK 27-12 특수채(AAA이상)액티브,0193M0,,,,,,,
KR70195S0007,A0195S0,ETF,TIGER SK하이닉스단일종목레버리지,0195S0,,,,,,,
KR70197W0009,A0197W0,ETF,SOL SK하이닉스단일종목레버리지,0197W0,,,,,,,
KR70198D0001,A0198D0,ETF,1Q SK하이닉스선물단일종목레버리지,0198D0,,,,,,,
KR70203D0004,A0203D0,ETF,PLUS 200위클리커버드콜채권혼합,0203D0,,,,,,,
KR70221V0000,A0221V0,ETF,IBK 초단기채권액티브,0221V0,,,,,,,
KR7436140008,A436140,ETF,SOL 종합채권(AA-이상)액티브,436140,0.04,실물(액티브),국내,채권,환노출,0.04,LSEG
KR7437070006,A437070,ETF,KODEX 아시아달러채권ESG플러스액티브,437070,0.18,실물(액티브),해외,채권,환노출,0.18,LSEG
KR7438330003,A438330,ETF,TIGER 우량회사채액티브,438330,0.1,실물(액티브),국내,채권,환노출,0.1,LSEG
KR7438560005,A438560,ETF,SOL 국고채3년,438560,0.05,실물(패시브),국내,채권,환노출,0.05,LSEG
KR7438570004,A438570,ETF,SOL 국고채10년,438570,0.05,실물(패시브),국내,채권,환노출,0.05,LSEG
KR7438740003,A438740,ETF,MIDAS 중소형액티브,438740,0.62,실물(액티브),국내,주식,환노출,0.62,LSEG
KR7438900003,A438900,ETF,HANARO Fn K-푸드,438900,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KRG550000761,Q550076,ETN,N2 US 500 월간레버리지 ETN(H),550076,,,,,,,
KR70221Z0006,A0221Z0,ETF,ACE K바이오코스닥액티브,0221Z0,,,,,,,
KR70225V0006,A0225V0,ETF,KODEX 미국CPU반도체TOP10,0225V0,,,,,,,
KR70226A0000,A0226A0,ETF,PLUS SK하이닉스샌디스크채권혼합50,0226A0,,,,,,,
KR70226G0004,A0226G0,ETF,WON 피지컬AI TOP2플러스액티브,0226G0,,,,,,,
KR7069500007,A069500,ETF,KODEX 200,069500,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR7091170001,A091170,ETF,KODEX 은행,091170,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7091180000,A091180,ETF,KODEX 자동차,091180,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7099140006,A099140,ETF,KODEX 차이나H,099140,0.12,실물(패시브),해외,주식,환노출,0.12,LSEG
KR7444200000,A444200,ETF,SOL 코리아메가테크액티브,444200,0.55,실물(액티브),국내,주식,환노출,0.55,LSEG
KR7444490007,A444490,ETF,WON 미국S&P500,444490,0.05,실물(패시브),해외,주식,환노출,0.05,LSEG
KR7445290000,A445290,ETF,KODEX 로봇액티브,445290,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR7446690000,A446690,ETF,KODEX 아시아AI반도체exChina액티브,446690,0.5,실물(액티브),해외,주식,환노출,0.5,LSEG
KR7446700007,A446700,ETF,RISE 배터리 리사이클링,446700,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7448290007,A448290,ETF,TIGER 미국S&P500(H),448290,0.07,실물(패시브),해외,주식,환헤지,0.07,LSEG
KR7449170000,A449170,ETF,TIGER KOFR금리액티브(합성),449170,0.03,합성(액티브),국내,기타,합성,0.03,LSEG
KR7476810007,A476810,ETF,KODEX 25-11 은행채(AA-이상)PLUS액티브,476810,,,,,,,
KR7102780004,A102780,ETF,KODEX 삼성그룹,102780,0.25,실물(패시브),국내,주식,환노출,0.4,RDB
KR7102960002,A102960,ETF,KODEX 기계장비,102960,0.45,실물(패시브),국내,주식,환노출,0.49,RDB
KR7104520002,A104520,ETF,KIWOOM 블루칩,104520,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7105780001,A105780,ETF,RISE 5대그룹주,105780,0.4,실물(패시브),국내,주식,환노출,0.52,RDB
KR7108450008,A108450,ETF,ACE 삼성그룹섹터가중,108450,0.15,실물(패시브),국내,주식,환노출,0.4,RDB
KR7108590001,A108590,ETF,TREX 200,108590,0.325,실물(패시브),국내,주식,환노출,0.325,LSEG
KR7114100001,A114100,ETF,RISE 국고채3년,114100,0.115,실물(패시브),국내,채권,환노출,0.52,RDB
KR7114460009,A114460,ETF,ACE 국고채3년,114460,0.15,실물(패시브),국내,채권,환노출,0.4,RDB
KR7449770007,A449770,ETF,KIWOOM 미국S&P500,449770,0.021,실물(패시브),해외,주식,환노출,0.021,LSEG
KR7451530000,A451530,ETF,TIGER 국고채30년스트립액티브,451530,0.15,실물(액티브),국내,채권,환노출,0.15,LSEG
KR7453810004,A453810,ETF,KODEX 인도Nifty50,453810,0.19,실물(패시브),해외,주식,환노출,0.19,LSEG
KR7453870008,A453870,ETF,TIGER 인도니프티50,453870,0.19,실물(패시브),해외,주식,환노출,0.19,LSEG
KR7453950008,A453950,ETF,TIGER TSMC파운드리밸류체인,453950,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR7455660001,A455660,ETF,ACE 미국하이일드액티브(H),455660,0.24,실물(액티브),해외,채권,환헤지,0.24,LSEG
KR7455960005,A455960,ETF,RISE 미국달러SOFR금리액티브(합성),455960,0.05,합성(액티브),해외,기타,합성,0.05,LSEG
KRG550000779,Q550077,ETN,N2 S&P500 버퍼10% 3월 ETN(H),550077,,,,,,,
KR7122260003,A122260,ETF,KIWOOM 통안채1년,122260,0.05,실물(패시브),국내,채권,환노출,0.05,LSEG
KR7122630007,A122630,ETF,KODEX 레버리지,122630,0.64,실물(패시브),국내,주식,환노출,0.4,RDB
KR7130680002,A130680,ETF,TIGER 원유선물Enhanced(H),130680,0.69,실물(패시브),해외,원자재,환헤지,0.69,LSEG
KR7137610002,A137610,ETF,TIGER 농산물선물Enhanced(H),137610,0.69,실물(패시브),해외,원자재,환헤지,0.69,LSEG
KR7138530001,A138530,ETF,TIGER LG그룹플러스,138530,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR7139240006,A139240,ETF,TIGER 200 철강소재,139240,0.34,실물(패시브),국내,주식,환노출,0.4,RDB
KR7139280002,A139280,ETF,TIGER 경기방어,139280,0.4,실물(패시브),국내,주식,환노출,0.16,RDB
KRG520000990,Q520099,ETN,미래에셋 인버스 2X 반도체 ETN,520099,,,,,,,
KR7456250000,A456250,ETF,KODEX 유럽명품TOP10 STOXX,456250,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR7456880004,A456880,ETF,ACE 미국달러SOFR금리(합성),456880,0.05,합성(패시브),해외,기타,합성,0.05,LSEG
KR7457480002,A457480,ETF,ACE 테슬라밸류체인액티브,457480,0.29,실물(액티브),해외,주식,환노출,0.29,LSEG
KR7457690006,A457690,ETF,KODEX 33-06 국고채액티브,457690,0.15,실물(액티브),국내,채권,환노출,0.15,LSEG
KR7457700003,A457700,ETF,KODEX 53-09 국고채액티브,457700,0.15,실물(액티브),국내,채권,환노출,0.15,LSEG
KR7458210002,A458210,ETF,KIWOOM CD금리액티브(합성),458210,0.03,합성(액티브),국내,기타,합성,0.03,LSEG
KR7458730009,A458730,ETF,TIGER 미국배당다우존스,458730,0.01,실물(패시브),해외,주식,환노출,0.01,LSEG
KRG522100103,Q520010,ETN,미래에셋 원유선물혼합 ETN(H),520010,,,,,,,
KR7139660005,A139660,ETF,KIWOOM 미국달러선물인버스,139660,0.49,실물(패시브),국내,통화,환노출,0.49,LSEG
KR7140700006,A140700,ETF,KODEX 보험,140700,0.45,실물(패시브),국내,주식,환노출,0.49,RDB
KR7152100004,A152100,ETF,PLUS 200,152100,0.017,실물(패시브),국내,주식,환노출,0.017,LSEG
KR7152500005,A152500,ETF,ACE 레버리지,152500,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7156080004,A156080,ETF,KODEX MSCI Korea,156080,0.09,실물(패시브),국내,주식,환노출,0.09,LSEG
KR7160580007,A160580,ETF,TIGER 구리실물,160580,0.83,실물(패시브),해외,원자재,환노출,0.83,LSEG
KR7167860006,A167860,ETF,KIWOOM 국고채10년레버리지,167860,0.3,실물(패시브),국내,채권,환노출,0.3,LSEG
KR7174360008,A174360,ETF,RISE 중국본토대형주CSI100,174360,0.65,실물(패시브),해외,주식,환노출,0.65,LSEG
KR7459750006,A459750,ETF,RISE 글로벌주식분산액티브,459750,0.2,실물(액티브),해외,주식,환노출,0.2,LSEG
KR7460280001,A460280,ETF,KIWOOM Fn유전자혁신기술,460280,,,,,,,
KR7461490005,A461490,ETF,RISE 글로벌자산배분액티브,461490,0.01,실물(액티브),해외,혼합자산,환노출,0.01,LSEG
KR7462330002,A462330,ETF,KODEX 2차전지산업레버리지,462330,0.49,실물(패시브),국내,주식,환노출,0.49,LSEG
KR7463250001,A463250,ETF,TIGER K방산&우주,463250,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7463300004,A463300,ETF,RISE 중국본토CSI300,463300,0.05,실물(패시브),해외,주식,환노출,0.05,LSEG
KR7465670008,A465670,ETF,TIGER 미국캐시카우100,465670,0.25,실물(패시브),해외,주식,환노출,0.25,LSEG
KR7466810009,A466810,ETF,BNK 2차전지양극재,466810,0.395,실물(패시브),국내,주식,환노출,0.395,LSEG
KR7181480005,A181480,ETF,ACE 미국부동산리츠(합성 H),181480,0.3,합성(패시브),해외,부동산,환노출,0.3,LSEG
KR7185680006,A185680,ETF,KODEX 미국S&P바이오(합성),185680,0.25,합성(패시브),해외,주식,합성,0.25,LSEG
KR7195920004,A195920,ETF,TIGER 일본TOPIX(합성 H),195920,0.24,합성(패시브),해외,주식,환노출,0.24,LSEG
KR7196030001,A196030,ETF,ACE 일본TOPIX레버리지(H),196030,0.5,실물(패시브),해외,주식,환헤지,0.49,RDB
KR7196230007,A196230,ETF,RISE 단기통안채,196230,0.13,실물(패시브),국내,채권,환노출,0.13,LSEG
KR7200250009,A200250,ETF,KIWOOM 인도Nifty50(합성),200250,0.29,합성(패시브),해외,주식,합성,0.29,LSEG
KR7204480008,A204480,ETF,TIGER 차이나CSI300레버리지(합성),204480,0.58,합성(패시브),해외,주식,합성,0.58,LSEG
KRG550000860,Q550086,ETN,N2 미국달러 SOFR금리 플러스 ETN,550086,,,,,,,
KR7466920006,A466920,ETF,SOL 조선TOP3플러스,466920,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7466950003,A466950,ETF,TIGER 글로벌AI액티브,466950,0.79,실물(액티브),해외,주식,환노출,0.79,LSEG
KR7468820006,A468820,ETF,WON 25-09 회사채(AA-이상)액티브,468820,,,,,,,
KR7469070007,A469070,ETF,RISE AI&로봇,469070,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7469530000,A469530,ETF,RISE 미국달러선물인버스,469530,0.05,실물(패시브),국내,통화,환노출,0.05,LSEG
KR7469580005,A469580,ETF,RISE KP달러채권액티브,469580,,,,,,,
KR7469830004,A469830,ETF,SOL 초단기채권액티브,469830,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KR7470310004,A470310,ETF,UNICORN 생성형AI강소기업액티브,470310,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KRG500000879,Q500087,ETN,신한 26-05 은행채(AAA) ETN,500087,,,,,,,
KR7213610009,A213610,ETF,KODEX 삼성그룹밸류,213610,0.09,실물(패시브),국내,주식,환노출,0.4,RDB
KR7213630007,A213630,ETF,PLUS 미국다우존스고배당주(합성 H),213630,0.4,합성(패시브),해외,주식,환노출,0.4,LSEG
KR7215620006,A215620,ETF,HK S&P코리아로우볼,215620,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7219390002,A219390,ETF,RISE 미국S&P원유생산기업(합성 H),219390,0.25,합성(패시브),해외,주식,환노출,0.52,RDB
KR7226380004,A226380,ETF,ACE Fn성장소비주도주,226380,0.5,실물(패시브),국내,주식,환노출,0.4,RDB
KR7227550001,A227550,ETF,TIGER 200 산업재,227550,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7228790002,A228790,ETF,TIGER 화장품,228790,0.5,실물(패시브),국내,주식,환노출,0.5,LSEG
KRG530000907,Q530090,ETN,삼성 인버스 은 선물 ETN(H),530090,,,,,,,
KR7471990002,A471990,ETF,KODEX AI반도체핵심장비,471990,0.39,실물(패시브),국내,주식,환노출,0.39,LSEG
KR7472150002,A472150,ETF,TIGER 배당커버드콜액티브,472150,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR7472160001,A472160,ETF,TIGER 미국테크TOP10 INDXX(H),472160,0.49,실물(패시브),해외,주식,환헤지,0.49,LSEG
KR7472350008,A472350,ETF,1Q 차이나H(H),472350,,,,,,,
KR7473330009,A473330,ETF,SOL 미국30년국채커버드콜(합성),473330,0.25,합성(패시브),해외,채권,합성,0.25,LSEG
KR7473490001,A473490,ETF,KIWOOM 글로벌AI반도체,473490,0.4,실물(패시브),국내&해외,주식,환노출,0.4,LSEG
KR7474920006,A474920,ETF,에셋플러스 차이나일등기업포커스10액티브,474920,0.99,실물(액티브),해외,주식,환노출,0.99,LSEG
KRG501500364,Q500036,ETN,신한 인버스 2X 미국달러 선물 ETN,500036,,,,,,,
KR7229200001,A229200,ETF,KODEX 코스닥150,229200,0.25,실물(패시브),국내,주식,환노출,0.4,RDB
KR7243890001,A243890,ETF,TIGER 200에너지화학레버리지,243890,0.69,실물(패시브),국내,주식,환노출,0.69,LSEG
KR7244580007,A244580,ETF,KODEX 바이오,244580,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7244660007,A244660,ETF,KODEX 퀄리티Plus,244660,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7250730009,A250730,ETF,RISE 차이나HSCEI(H),250730,0.021,실물(패시브),해외,주식,환헤지,0.021,LSEG
KR7251340006,A251340,ETF,KODEX 코스닥150선물인버스,251340,0.64,실물(패시브),국내,주식,환노출,0.64,RDB
KR7252000005,A252000,ETF,TIGER 200동일가중,252000,0.21,실물(패시브),국내,주식,환노출,0.21,LSEG
KR7253240006,A253240,ETF,KIWOOM 200선물인버스,253240,0.46,실물(패시브),국내,주식,환노출,0.46,LSEG
KR7475050001,A475050,ETF,ACE KPOP포커스,475050,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7475080008,A475080,ETF,KODEX 테슬라커버드콜채권혼합액티브,475080,0.39,실물(액티브),국내&해외,혼합자산,환노출,0.39,LSEG
KR7475270005,A475270,ETF,ACE 5월만기자동연장회사채AA-이상액티브,475270,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KR7475300000,A475300,ETF,SOL 반도체전공정,475300,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7476000005,A476000,ETF,UNICORN 포스트IPO액티브,476000,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR7476690003,A476690,ETF,TIGER 글로벌비만치료제TOP2Plus,476690,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR7476800008,A476800,ETF,KODEX 한국부동산리츠인프라,476800,0.09,실물(패시브),국내,부동산,환노출,0.09,LSEG
KRG530000980,Q530098,ETN,삼성 블룸버그 WTI원유 선물 ETN,530098,,,,,,,
KR7253280002,A253280,ETF,RISE 헬스케어,253280,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7261110001,A261110,ETF,TIGER 미국달러선물레버리지,261110,0.05,실물(패시브),국내,통화,환노출,0.05,LSEG
KR7261240006,A261240,ETF,KODEX 미국달러선물,261240,0.25,실물(패시브),국내,통화,환노출,0.25,LSEG
KR7265690008,A265690,ETF,ACE 러시아MSCI(합성),265690,0.0,합성(패시브),해외,주식,합성,0.0,LSEG
KR7266360007,A266360,ETF,KODEX K콘텐츠,266360,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7269530002,A269530,ETF,PLUS S&P글로벌인프라,269530,0.3,실물(패시브),해외,주식,환노출,0.3,LSEG
KR7272560004,A272560,ETF,RISE 단기국공채액티브,272560,0.07,실물(액티브),국내,채권,환노출,0.07,LSEG
KR7276000007,A276000,ETF,TIGER 글로벌자원생산기업(합성 H),276000,0.4,합성(패시브),해외,주식,환노출,0.4,LSEG
KR7477080006,A477080,ETF,RISE CD금리액티브(합성),477080,0.02,합성(액티브),국내,기타,합성,0.02,LSEG
KR7478150006,A478150,ETF,TIME 글로벌우주테크&방산액티브,478150,0.8,실물(액티브),해외,주식,환노출,0.8,LSEG
KR7480030006,A480030,ETF,ACE 미국500데일리타겟커버드콜(합성),480030,0.45,합성(패시브),해외,주식,합성,0.45,LSEG
KR7481050003,A481050,ETF,KODEX CD1년금리플러스액티브(합성),481050,0.05,합성(액티브),국내,기타,합성,0.05,LSEG
KR7481180008,A481180,ETF,SOL 미국AI소프트웨어,481180,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR7483280004,A483280,ETF,KODEX 미국AI테크TOP10타겟커버드콜,483280,0.39,실물(패시브),해외,주식,환노출,0.39,LSEG
KR7483330007,A483330,ETF,ACE 마이크로소프트밸류체인액티브,483330,0.45,실물(액티브),해외,주식,환노출,0.45,LSEG
KR7276650009,A276650,ETF,RISE 글로벌테크놀로지(합성 H),276650,0.4,합성(패시브),국내&해외,주식,환노출,0.4,LSEG
KR7276990009,A276990,ETF,KODEX 글로벌로봇(합성),276990,0.3,합성(패시브),국내&해외,주식,합성,0.3,LSEG
KR7277540001,A277540,ETF,ACE 아시아TOP50,277540,0.7,실물(패시브),국내&해외,주식,환노출,0.7,LSEG
KR7277640009,A277640,ETF,TIGER 코스피대형주,277640,0.24,실물(패시브),국내,주식,환노출,0.24,LSEG
KR7279540009,A279540,ETF,KODEX 최소변동성,279540,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7280930009,A280930,ETF,KODEX 미국러셀2000(H),280930,0.45,실물(패시브),해외,주식,환헤지,0.45,LSEG
KR7280940008,A280940,ETF,KODEX 골드선물인버스(H),280940,0.45,실물(패시브),해외,원자재,환헤지,0.45,LSEG
KR7283580009,A283580,ETF,KODEX 차이나CSI300,283580,0.12,실물(패시브),해외,주식,환노출,0.12,LSEG
KR7483340006,A483340,ETF,ACE 구글밸류체인액티브,483340,0.45,실물(액티브),해외,주식,환노출,0.45,LSEG
KR7484790001,A484790,ETF,KODEX 미국30년국채액티브(H),484790,0.015,실물(액티브),해외,채권,환헤지,0.015,LSEG
KR7486240005,A486240,ETF,DAISHIN AI반도체&인프라액티브,486240,0.36,실물(액티브),국내,주식,환노출,0.36,LSEG
KR7488200007,A488200,ETF,KIWOOM K-2차전지북미공급망,488200,0.49,실물(패시브),국내,주식,환노출,0.49,LSEG
KR7488290008,A488290,ETF,MIDAS 일본테크액티브,488290,0.65,실물(액티브),해외,주식,환노출,0.65,LSEG
KR7488720004,A488720,ETF,WON 종합채권(AA-이상)액티브,488720,0.045,실물(액티브),국내,채권,환노출,0.045,LSEG
KR7490480001,A490480,ETF,SOL K방산,490480,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KRG530001111,Q530111,ETN,삼성 레버리지 천연가스 선물 ETN C,530111,,,,,,,
KR7491610002,A491610,ETF,1Q CD금리액티브(합성),491610,0.02,합성(액티브),국내,기타,합성,0.02,LSEG
KR7494180003,A494180,ETF,TIME 글로벌소비트렌드액티브,494180,0.8,실물(액티브),해외,주식,환노출,0.8,LSEG
KR7494310006,A494310,ETF,KODEX 반도체레버리지,494310,0.49,실물(패시브),국내,주식,환노출,0.49,LSEG
KR7494900004,A494900,ETF,TIGER 25-12 금융채(AA-이상),494900,,,,,,,
KR7495060006,A495060,ETF,TIME 코리아밸류업액티브,495060,0.8,실물(액티브),국내,주식,환노출,0.8,LSEG
KR7495230005,A495230,ETF,KoAct 코리아밸류업액티브,495230,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR7496130006,A496130,ETF,TRUSTON 코리아밸류업액티브,496130,0.785,실물(액티브),국내,주식,환노출,0.785,LSEG
KR7496770009,A496770,ETF,PLUS 글로벌방산,496770,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR7497780007,A497780,ETF,KoAct 미국천연가스인프라액티브,497780,0.5,실물(액티브),해외,주식,환노출,0.5,LSEG
KRG500000564,Q500056,ETN,신한 레버리지 Russell 2000 ETN,500056,,,,,,,
KRG500000721,Q500072,ETN,신한 인버스 2X 코스닥 150 선물 ETN,500072,,,,,,,
KRG500000788,Q500078,ETN,신한 S&P 유로 선물 ETN(H),500078,,,,,,,
KRG500000820,Q500082,ETN,신한 블룸버그 2X 천연가스 선물 ETN,500082,,,,,,,
KRG500000895,Q500089,ETN,신한 26-05 공사채(AAA) ETN,500089,,,,,,,
KRG500000903,Q500090,ETN,신한 2X 26-05 공사채(AAA) ETN,500090,,,,,,,
KRG500000960,Q500096,ETN,신한 인버스2X 천연가스 선물 ETN B,500096,,,,,,,
KRG500000978,Q500097,ETN,신한 레버리지 Russell 2000 ETN B,500097,,,,,,,
KRG500001018,Q500101,ETN,신한 블룸버그 천연가스 선물 ETN,500101,,,,,,,
KR7275290005,A275290,ETF,KODEX 가치주,275290,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7278530001,A278530,ETF,KODEX 200TR,278530,0.05,실물(패시브),국내,주식,환노출,0.05,LSEG
KR7278540000,A278540,ETF,KODEX MSCI Korea TR,278540,0.09,실물(패시브),국내,주식,환노출,0.09,LSEG
KR7280320003,A280320,ETF,ACE 미국IT인터넷(합성 H),280320,0.5,합성(패시브),해외,주식,환노출,0.5,LSEG
KR7281990002,A281990,ETF,RISE 중소형고배당,281990,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7289250003,A289250,ETF,TIGER MSCI KOREA ESG유니버설,289250,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7290080001,A290080,ETF,RISE 200고배당커버드콜ATM,290080,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KRG520000404,Q520040,ETN,미래에셋 인버스 코스닥150 선물 ETN,520040,,,,,,,
KR7291620003,A291620,ETF,KIWOOM 코스닥150선물인버스,291620,0.09,실물(패시브),국내,주식,환노출,0.09,LSEG
KR7291890002,A291890,ETF,KODEX MSCI EM선물(H),291890,0.45,실물(패시브),해외,주식,환헤지,0.45,LSEG
KR7293180006,A293180,ETF,HANARO 200,293180,0.036,실물(패시브),국내,주식,환노출,0.036,LSEG
KR7295020002,A295020,ETF,RISE 국채선물10년인버스,295020,0.07,실물(패시브),국내,채권,환노출,0.07,LSEG
KR7301400008,A301400,ETF,PLUS 코스닥150,301400,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR7304670003,A304670,ETF,KODEX 미국30년국채울트라선물인버스(H),304670,0.3,실물(패시브),해외,채권,환헤지,0.3,LSEG
KR7304760002,A304760,ETF,HANARO KRX300,304760,0.05,실물(패시브),국내,주식,환노출,0.05,LSEG
KR7304770001,A304770,ETF,HANARO 코스닥150,304770,0.2,실물(패시브),국내,주식,환노출,0.2,LSEG
KR7305720005,A305720,ETF,KODEX 2차전지산업,305720,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7306520008,A306520,ETF,HANARO 200선물인버스,306520,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7314700006,A314700,ETF,HANARO 농업융복합산업,314700,0.5,실물(패시브),국내,주식,환노출,0.5,LSEG
KR7321410003,A321410,ETF,KODEX 멀티에셋하이인컴(H),321410,0.25,실물(패시브),해외,혼합자산,환헤지,0.25,LSEG
KR7325010007,A325010,ETF,KODEX 성장주,325010,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7326230000,A326230,ETF,RISE 내수주플러스,326230,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7326240009,A326240,ETF,RISE IT플러스,326240,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KRG520000461,Q520046,ETN,미래에셋 레버리지 옥수수 선물 ETN,520046,,,,,,,
KR7329200000,A329200,ETF,TIGER 리츠부동산인프라,329200,0.08,실물(패시브),국내,부동산,환노출,0.08,LSEG
KR7329750004,A329750,ETF,TIGER 미국달러단기채권액티브,329750,0.3,실물(액티브),해외,채권,환노출,0.3,LSEG
KR7334700002,A334700,ETF,RISE 팔라듐선물인버스(H),334700,0.6,실물(패시브),해외,원자재,환헤지,0.6,LSEG
KR7352540009,A352540,ETF,KODEX 일본부동산리츠(H),352540,0.3,실물(패시브),해외,부동산,환헤지,0.3,LSEG
KR7352560007,A352560,ETF,KODEX 미국부동산리츠(H),352560,0.09,실물(패시브),해외,부동산,환헤지,0.09,LSEG
KR7364970004,A364970,ETF,TIGER 바이오TOP10,364970,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7364980003,A364980,ETF,TIGER 2차전지TOP10,364980,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KRG502400184,Q500018,ETN,신한 구리 선물 ETN(H),500018,,,,,,,
KRG520000560,Q520056,ETN,미래에셋 레버리지 코스닥150 선물 ETN,520056,,,,,,,
KRG520000685,Q520068,ETN,미래에셋 2X 홍콩H 선물 ETN,520068,,,,,,,
KRG520000693,Q520069,ETN,미래에셋 -2X 홍콩H 선물 ETN(H),520069,,,,,,,
KRG520000735,Q520073,ETN,미래에셋 레버리지 미국 AI TOP3 ETN,520073,,,,,,,
KRG520000776,Q520077,ETN,미래에셋 -1.5X 천연가스 선물 ETN,520077,,,,,,,
KRG520000875,Q520087,ETN,미래에셋 레버리지 KRX 금현물 ETN,520087,,,,,,,
KRG520000883,Q520088,ETN,미래에셋 S&P500 VIX S/T 선물 ETN(H),520088,,,,,,,
KRG520000909,Q520090,ETN,미래에셋 천연가스 선물 ETN B,520090,,,,,,,
KRG520000941,Q520094,ETN,미래에셋 CD금리 플러스 ETN,520094,,,,,,,
KRG510000166,Q510016,ETN,대신 천연가스 선물 ETN(H),510016,,,,,,,
KR7364990002,A364990,ETF,TIGER 게임TOP10,364990,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7367740008,A367740,ETF,HANARO Fn5G산업,367740,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7368680005,A368680,ETF,KODEX K-뉴딜디지털플러스,368680,0.09,실물(패시브),국내,주식,환노출,0.09,LSEG
KR7371150004,A371150,ETF,RISE 차이나항셍테크,371150,0.14,실물(패시브),해외,주식,환노출,0.14,LSEG
KR7373490002,A373490,ETF,KODEX 코리아혁신성장액티브,373490,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR7381170000,A381170,ETF,TIGER 미국테크TOP10 INDXX,381170,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR7388280000,A388280,ETF,RISE K엔터&여행레저,388280,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7391670007,A391670,ETF,HK 베스트일레븐액티브,391670,0.3,실물(액티브),국내,주식,환노출,0.3,LSEG
KR7284980000,A284980,ETF,RISE 200금융,284980,0.19,실물(패시브),국내,주식,환노출,0.19,LSEG
KR7289260002,A289260,ETF,TIGER MSCI KOREA ESG리더스,289260,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7291680007,A291680,ETF,RISE 차이나H선물인버스(H),291680,0.6,실물(패시브),해외,주식,환헤지,0.6,LSEG
