pd_no,pd_exg_mkt,info_seq,crd_grd_norm,crd_grd_rank,crd_grd_source,remaining_days,maturity_bucket,is_krw,has_sale_info,is_sellable,source
KR6032714E41,장내,1,AA+,2,crd_grd,1034,1-3년,Y,N,Y,derived:PRBD01N001
KR6032714F32,장내,1,AA+,2,crd_grd,1293,3-5년,Y,N,Y,derived:PRBD01N001
KR6032714G56,장내,1,AA+,2,crd_grd,916,1-3년,Y,N,Y,derived:PRBD01N001
KR6032715F72,장내,1,AA+,2,crd_grd,1242,3-5년,Y,N,Y,derived:PRBD01N001
KR6032716D81,장내,1,AA+,2,crd_grd,718,1-3년,Y,N,Y,derived:PRBD01N001
KR6032716D99,장내,1,AA+,2,crd_grd,24,1년미만,Y,N,Y,derived:PRBD01N001
KR6032717E71,장내,1,AA+,2,crd_grd,698,1-3년,Y,N,Y,derived:PRBD01N001
KR6032718F79,장내,1,AA+,2,crd_grd,1250,3-5년,Y,N,Y,derived:PRBD01N001
KR6032719C55,장내,1,AA+,2,crd_grd,264,1년미만,Y,N,Y,derived:PRBD01N001
KR6032719EB7,장내,1,AA+,2,crd_grd,518,1-3년,Y,N,Y,derived:PRBD01N001
KR603271ABA4,장내,1,AA+,2,crd_grd,798,1-3년,Y,N,Y,derived:PRBD01N001
KR603271CEB2,장내,1,AA+,2,crd_grd,829,1-3년,Y,N,Y,derived:PRBD01N001
KR603271HE60,장내,1,AA+,2,crd_grd,675,1-3년,Y,N,Y,derived:PRBD01N001
KR6033631F48,장내,1,AA,3,crd_grd,616,1-3년,Y,N,Y,derived:PRBD01N001
KR6033661E83,장내,1,AA-,4,crd_grd,168,1년미만,Y,N,Y,derived:PRBD01N001
KR6033661F33,장내,1,AA-,4,crd_grd,202,1년미만,Y,N,Y,derived:PRBD01N001
KR6033662EB8,장내,1,AA-,4,crd_grd,76,1년미만,Y,N,Y,derived:PRBD01N001
KR6033664EA6,장내,1,AA-,4,crd_grd,231,1년미만,Y,N,Y,derived:PRBD01N001
KR6033665EC9,장내,1,AA-,4,crd_grd,119,1년미만,Y,N,Y,derived:PRBD01N001
KR6033666E54,장내,1,AA-,4,crd_grd,279,1년미만,Y,N,Y,derived:PRBD01N001
KR6033667EA9,장내,1,AA-,4,crd_grd,160,1년미만,Y,N,Y,derived:PRBD01N001
KR6033668G76,장내,1,AA-,4,crd_grd,749,1-3년,Y,N,Y,derived:PRBD01N001
KR603366ADB6,장내,1,AA-,4,crd_grd,84,1년미만,Y,N,Y,derived:PRBD01N001
KR603366BEB2,장내,1,AA-,4,crd_grd,458,1-3년,Y,N,Y,derived:PRBD01N001
KR6034611F40,장내,1,A-,7,crd_grd,48,1년미만,Y,N,Y,derived:PRBD01N001
KR6034731DC0,장내,1,AA+,2,crd_grd,112,1년미만,Y,N,Y,derived:PRBD01N001
KR6034732A98,장내,1,AA+,2,crd_grd,382,1-3년,Y,N,Y,derived:PRBD01N001
KR6034732EB8,장내,1,AA+,2,crd_grd,1195,3-5년,Y,N,Y,derived:PRBD01N001
KR6035761F94,장내,1,AA-,4,crd_grd,385,1-3년,Y,N,Y,derived:PRBD01N001
KR6036573B78,장내,1,AA-,4,crd_grd,685,1-3년,Y,N,Y,derived:PRBD01N001
KR6039331F97,장내,1,B-,16,crd_grd,33,1년미만,Y,N,Y,derived:PRBD01N001
KR6040832E41,장내,1,A,6,crd_grd,231,1년미만,Y,N,Y,derived:PRBD01N001
KR6046292G72,장내,1,A,6,crd_grd,504,1-3년,Y,N,Y,derived:PRBD01N001
KR6046296FB7,장내,1,A,6,crd_grd,822,1-3년,Y,N,Y,derived:PRBD01N001
KR6047802G32,장내,1,AA,3,crd_grd,1664,3-5년,Y,N,Y,derived:PRBD01N001
KR6051913A28,장내,1,AA,3,crd_grd,182,1년미만,Y,N,Y,derived:PRBD01N001
KR6051914820,장내,1,AA,3,crd_grd,548,1-3년,Y,N,Y,derived:PRBD01N001
KR6055551C16,장내,1,AA-,4,crd_grd,157,1년미만,Y,N,Y,derived:PRBD01N001
KR6055551FB3,장내,1,AAA,1,crd_grd,264,1년미만,Y,N,Y,derived:PRBD01N001
KR6055551G79,장내,1,AAA,1,crd_grd,1068,1-3년,Y,N,Y,derived:PRBD01N001
KR6055552F38,장내,1,AAA,1,crd_grd,1312,3-5년,Y,N,Y,derived:PRBD01N001
KR6055552F79,장내,1,AAA,1,crd_grd,1427,3-5년,Y,N,Y,derived:PRBD01N001
KR6055553E12,장내,1,AA-,4,crd_grd,894,1-3년,Y,N,Y,derived:PRBD01N001
KR6063321E33,장내,1,AAA,1,crd_grd,927,1-3년,Y,N,Y,derived:PRBD01N001
KR6063323242,장내,1,AAA,1,crd_grd,2075,5-10년,Y,N,Y,derived:PRBD01N001
KR6063324C40,장내,1,AAA,1,crd_grd,5723,10년이상,Y,N,Y,derived:PRBD01N001
KR6063621793,장내,1,AAA,1,crd_grd,380,1-3년,Y,N,Y,derived:PRBD01N001
KR6063622G45,장내,1,AAA,1,crd_grd,1699,3-5년,Y,N,Y,derived:PRBD01N001
KR6063623E12,장내,1,AAA,1,crd_grd,6357,10년이상,Y,N,Y,derived:PRBD01N001
KR6063625E10,장내,1,AAA,1,crd_grd,157,1년미만,Y,N,Y,derived:PRBD01N001
KR6064311F16,장내,1,AAA,1,crd_grd,518,1-3년,Y,N,Y,derived:PRBD01N001
KR6064312F49,장내,1,AAA,1,crd_grd,609,1-3년,Y,N,Y,derived:PRBD01N001
KR6064312F64,장내,1,AAA,1,crd_grd,1396,3-5년,Y,N,Y,derived:PRBD01N001
KR6064981F23,장내,1,AAA,1,crd_grd,181,1년미만,Y,N,Y,derived:PRBD01N001
KR6064982962,장내,1,AAA,1,crd_grd,4692,10년이상,Y,N,Y,derived:PRBD01N001
KR6064982F14,장내,1,AAA,1,crd_grd,521,1-3년,Y,N,Y,derived:PRBD01N001
KR6064983G61,장내,1,AAA,1,crd_grd,1025,1-3년,Y,N,Y,derived:PRBD01N001
KR6065901FB8,장내,1,AA+,2,crd_grd,84,1년미만,Y,N,Y,derived:PRBD01N001
KR6065901G34,장내,1,AA+,2,crd_grd,378,1-3년,Y,N,Y,derived:PRBD01N001
KR6065905A85,장내,1,AA+,2,crd_grd,1449,3-5년,Y,N,Y,derived:PRBD01N001
KR6065905A93,장내,1,AA+,2,crd_grd,1481,3-5년,Y,N,Y,derived:PRBD01N001
KR6065905G30,장내,1,AA+,2,crd_grd,264,1년미만,Y,N,Y,derived:PRBD01N001
KR6065906F63,장내,1,AA+,2,crd_grd,675,1-3년,Y,N,Y,derived:PRBD01N001
KR6065908F20,장내,1,AA+,2,crd_grd,1277,3-5년,Y,N,Y,derived:PRBD01N001
KR6065909782,장내,1,AA+,2,crd_grd,374,1-3년,Y,N,Y,derived:PRBD01N001
KR606590EE86,장내,1,AA+,2,crd_grd,371,1-3년,Y,N,Y,derived:PRBD01N001
KR60665619A7,장내,1,AAA,1,crd_grd,1166,3-5년,Y,N,Y,derived:PRBD01N001
KR60665629B4,장내,1,AAA,1,crd_grd,8485,10년이상,Y,N,Y,derived:PRBD01N001
KR6066563C68,장내,1,AAA,1,crd_grd,9437,10년이상,Y,N,Y,derived:PRBD01N001
KR60681738B3,장내,1,AAA,1,crd_grd,8112,10년이상,Y,N,Y,derived:PRBD01N001
KR6068177BB1,장내,1,AAA,1,crd_grd,9224,10년이상,Y,N,Y,derived:PRBD01N001
KR6069962F41,장내,1,AA+,2,crd_grd,616,1-3년,Y,N,Y,derived:PRBD01N001
KR6073981B93,장내,1,AA,3,crd_grd,9151,10년이상,Y,N,Y,derived:PRBD01N001
KR6079161C75,장내,1,BBB+,8,crd_grd,9466,10년이상,Y,N,Y,derived:PRBD01N001
KR6079311EA9,장내,1,AA-,4,crd_grd,56,1년미만,Y,N,Y,derived:PRBD01N001
KR6079312C40,장내,1,AA-,4,crd_grd,227,1년미만,Y,N,Y,derived:PRBD01N001
KR6079312G12,장내,1,AA-,4,crd_grd,328,1년미만,Y,N,Y,derived:PRBD01N001
KR6079315F36,장내,1,AA-,4,crd_grd,563,1-3년,Y,N,Y,derived:PRBD01N001
KR6079317DC4,장내,1,AA-,4,crd_grd,119,1년미만,Y,N,Y,derived:PRBD01N001
KR6079317G66,장내,1,AA-,4,crd_grd,319,1년미만,Y,N,Y,derived:PRBD01N001
KR6079318F74,장내,1,AA-,4,crd_grd,161,1년미만,Y,N,Y,derived:PRBD01N001
KR6079319F73,장내,1,AA-,4,crd_grd,405,1-3년,Y,N,Y,derived:PRBD01N001
KR607931AEB1,장내,1,AA-,4,crd_grd,249,1년미만,Y,N,Y,derived:PRBD01N001
KR6082972G41,장내,1,AA-,4,crd_grd,542,1-3년,Y,N,Y,derived:PRBD01N001
KR6082974DB9,장내,1,AA-,4,crd_grd,811,1-3년,Y,N,Y,derived:PRBD01N001
KR6086791C11,장내,1,AA-,4,crd_grd,158,1년미만,Y,N,Y,derived:PRBD01N001
KR6086791G25,장내,1,AAA,1,crd_grd,914,1-3년,Y,N,Y,derived:PRBD01N001
KR6086792A87,장내,1,AA-,4,crd_grd,1468,3-5년,Y,N,Y,derived:PRBD01N001
KR6086794A51,장내,1,AA-,4,crd_grd,1376,3-5년,Y,N,Y,derived:PRBD01N001
KR6095231G65,장내,1,A,6,crd_grd,509,1-3년,Y,N,Y,derived:PRBD01N001
KR6095233F31,장내,1,A,6,crd_grd,21,1년미만,Y,N,Y,derived:PRBD01N001
KR6095234FB8,장내,1,A,6,crd_grd,446,1-3년,Y,N,Y,derived:PRBD01N001
KR6095235F62,장내,1,A,6,crd_grd,665,1-3년,Y,N,Y,derived:PRBD01N001
KR60959219A1,장내,1,AA-,4,crd_grd,1167,3-5년,Y,N,Y,derived:PRBD01N001
KR6095921F20,장내,1,AA-,4,crd_grd,173,1년미만,Y,N,Y,derived:PRBD01N001
KR6095923D38,장내,1,AA-,4,crd_grd,574,1-3년,Y,N,Y,derived:PRBD01N001
KR6095923E52,장내,1,AA-,4,crd_grd,280,1년미만,Y,N,Y,derived:PRBD01N001
KR6095923G84,장내,1,AA-,4,crd_grd,1085,1-3년,Y,N,Y,derived:PRBD01N001
KR6095925FB1,장내,1,AA-,4,crd_grd,462,1-3년,Y,N,Y,derived:PRBD01N001
KR6095925G17,장내,1,AA-,4,crd_grd,1622,3-5년,Y,N,Y,derived:PRBD01N001
KR6095928E99,장내,1,AA-,4,crd_grd,112,1년미만,Y,N,Y,derived:PRBD01N001
KR609592BD82,장내,1,AA-,4,crd_grd,0,만기경과,Y,N,N,derived:PRBD01N001
KR6097241EB4,장내,1,AA-,4,crd_grd,144,1년미만,Y,N,Y,derived:PRBD01N001
KR6097242G19,장내,1,AA-,4,crd_grd,550,1-3년,Y,N,Y,derived:PRBD01N001
KR6097243E85,장내,1,AA-,4,crd_grd,356,1년미만,Y,N,Y,derived:PRBD01N001
KR6097243F43,장내,1,AA-,4,crd_grd,539,1-3년,Y,N,Y,derived:PRBD01N001
KR6097243G34,장내,1,AA-,4,crd_grd,642,1-3년,Y,N,Y,derived:PRBD01N001
KR6097244G25,장내,1,AA-,4,crd_grd,903,1-3년,Y,N,Y,derived:PRBD01N001
KR6097245F66,장내,1,AA-,4,crd_grd,399,1-3년,Y,N,Y,derived:PRBD01N001
KR6097246G23,장내,1,AA-,4,crd_grd,215,1년미만,Y,N,Y,derived:PRBD01N001
KR6097246G72,장내,1,AA-,4,crd_grd,887,1-3년,Y,N,Y,derived:PRBD01N001
KR6097247FB8,장내,1,AA-,4,crd_grd,490,1-3년,Y,N,Y,derived:PRBD01N001
KR6097248DB1,장내,1,AA-,4,crd_grd,81,1년미만,Y,N,Y,derived:PRBD01N001
KR6101531G35,장내,1,A,6,crd_grd,938,1-3년,Y,N,Y,derived:PRBD01N001
KR6103341EA6,장내,1,A+,5,crd_grd,56,1년미만,Y,N,Y,derived:PRBD01N001
KR6105561BA3,장내,1,AA-,4,crd_grd,48,1년미만,Y,N,Y,derived:PRBD01N001
KR6105561F89,장내,1,AAA,1,crd_grd,721,1-3년,Y,N,Y,derived:PRBD01N001
KR6120112F90,장내,1,A,6,crd_grd,752,1-3년,Y,N,Y,derived:PRBD01N001
KR6138042E56,장내,1,AA,3,crd_grd,280,1년미만,Y,N,Y,derived:PRBD01N001
KR6138931D85,장내,1,AAA,1,crd_grd,8,1년미만,Y,N,Y,derived:PRBD01N001
KR6139132F96,장내,1,AAA,1,crd_grd,1497,3-5년,Y,N,Y,derived:PRBD01N001
KR6139483G17,장내,1,AA-,4,crd_grd,1614,3-5년,Y,N,Y,derived:PRBD01N001
KR6140171F88,장내,1,AA+,2,crd_grd,705,1-3년,Y,N,Y,derived:PRBD01N001
KR6140171FC5,장내,1,AA+,2,crd_grd,833,1-3년,Y,N,Y,derived:PRBD01N001
KR6140171G38,장내,1,AA+,2,crd_grd,615,1-3년,Y,N,Y,derived:PRBD01N001
KR6140171G61,장내,1,AA+,2,crd_grd,931,1-3년,Y,N,Y,derived:PRBD01N001
KR6140172G52,장내,1,AA+,2,crd_grd,629,1-3년,Y,N,Y,derived:PRBD01N001
KR6140173EB6,장내,1,AA+,2,crd_grd,42,1년미만,Y,N,Y,derived:PRBD01N001
KR6140174F69,장내,1,AA+,2,crd_grd,859,1-3년,Y,N,Y,derived:PRBD01N001
KR6140175FA0,장내,1,AA+,2,crd_grd,955,1-3년,Y,N,Y,derived:PRBD01N001
KR6140176DC9,장내,1,AA+,2,crd_grd,125,1년미만,Y,N,Y,derived:PRBD01N001
KR6140177C36,장내,1,AA+,2,crd_grd,207,1년미만,Y,N,Y,derived:PRBD01N001
KR6140177G73,장내,1,AA+,2,crd_grd,700,1-3년,Y,N,Y,derived:PRBD01N001
KR614017CE12,장내,1,AA+,2,crd_grd,157,1년미만,Y,N,Y,derived:PRBD01N001
KR614017CEB6,장내,1,AA+,2,crd_grd,826,1-3년,Y,N,Y,derived:PRBD01N001
KR614017DEC2,장내,1,AA+,2,crd_grd,1217,3-5년,Y,N,Y,derived:PRBD01N001
KR614017DF77,장내,1,AA+,2,crd_grd,739,1-3년,Y,N,Y,derived:PRBD01N001
KR6145761690,장내,1,AA-,4,crd_grd,31,1년미만,Y,N,Y,derived:PRBD01N001
KR6145761CA9,장내,1,AA-,4,crd_grd,432,1-3년,Y,N,Y,derived:PRBD01N001
KR6145762D35,장내,1,AA-,4,crd_grd,81,1년미만,Y,N,Y,derived:PRBD01N001
KR6145763F99,장내,1,AA-,4,crd_grd,749,1-3년,Y,N,Y,derived:PRBD01N001
KR6145764E81,장내,1,AA-,4,crd_grd,12,1년미만,Y,N,Y,derived:PRBD01N001
KR6145764EC5,장내,1,AA-,4,crd_grd,108,1년미만,Y,N,Y,derived:PRBD01N001
KR6145765E80,장내,1,AA-,4,crd_grd,42,1년미만,Y,N,Y,derived:PRBD01N001
KR6145766EA4,장내,1,AA-,4,crd_grd,412,1-3년,Y,N,Y,derived:PRBD01N001
KR6145766G38,장내,1,AA-,4,crd_grd,934,1-3년,Y,N,Y,derived:PRBD01N001
KR6145768D70,장내,1,AA-,4,crd_grd,696,1-3년,Y,N,Y,derived:PRBD01N001
KR614576AD42,장내,1,AA-,4,crd_grd,614,1-3년,Y,N,Y,derived:PRBD01N001
KR6155721EA6,장내,1,A+,5,crd_grd,63,1년미만,Y,N,Y,derived:PRBD01N001
KR6155722C26,장내,1,A+,5,crd_grd,178,1년미만,Y,N,Y,derived:PRBD01N001
KR6161892F25,장내,1,A,6,crd_grd,556,1-3년,Y,N,Y,derived:PRBD01N001
KR6166262693,장내,1,AAA,1,crd_grd,40,1년미만,Y,N,Y,derived:PRBD01N001
KR6166262D69,장내,1,AAA,1,crd_grd,308,1년미만,Y,N,Y,derived:PRBD01N001
KR6166262EC4,장내,1,AAA,1,crd_grd,1210,3-5년,Y,N,Y,derived:PRBD01N001
KR6169371F93,장내,1,A+,5,crd_grd,250,1년미만,Y,N,Y,derived:PRBD01N001
KR6169371G68,장내,1,A+,5,crd_grd,657,1-3년,Y,N,Y,derived:PRBD01N001
KR6169373D77,장내,1,A+,5,crd_grd,692,1-3년,Y,N,Y,derived:PRBD01N001
KR6169374FB3,장내,1,A+,5,crd_grd,418,1-3년,Y,N,Y,derived:PRBD01N001
KR6169374G24,장내,1,A+,5,crd_grd,629,1-3년,Y,N,Y,derived:PRBD01N001
KR6169374G65,장내,1,A+,5,crd_grd,495,1-3년,Y,N,Y,derived:PRBD01N001
KR6169375G23,장내,1,A+,5,crd_grd,630,1-3년,Y,N,Y,derived:PRBD01N001
KR616937CG38,장내,1,A+,5,crd_grd,637,1-3년,Y,N,Y,derived:PRBD01N001
KR6174141G75,장내,1,AA,3,crd_grd,686,1-3년,Y,N,Y,derived:PRBD01N001
KR6174142E35,장내,1,AA,3,crd_grd,17,1년미만,Y,N,Y,derived:PRBD01N001
KR6174144E25,장내,1,AA,3,crd_grd,6,1년미만,Y,N,Y,derived:PRBD01N001
KR6174144F73,장내,1,AA,3,crd_grd,866,1-3년,Y,N,Y,derived:PRBD01N001
KR6174145E40,장내,1,AA,3,crd_grd,244,1년미만,Y,N,Y,derived:PRBD01N001
KR6174145EC1,장내,1,AA,3,crd_grd,469,1-3년,Y,N,Y,derived:PRBD01N001
KR6174146E98,장내,1,AA,3,crd_grd,381,1-3년,Y,N,Y,derived:PRBD01N001
KR6174149E95,장내,1,AA,3,crd_grd,24,1년미만,Y,N,Y,derived:PRBD01N001
KR617414DF46,장내,1,AA,3,crd_grd,784,1-3년,Y,N,Y,derived:PRBD01N001
KR6176941F81,장내,1,AA-,4,crd_grd,448,1-3년,Y,N,Y,derived:PRBD01N001
KR6176942G63,장내,1,AA-,4,crd_grd,595,1-3년,Y,N,Y,derived:PRBD01N001
KR6176947G50,장내,1,AA-,4,crd_grd,739,1-3년,Y,N,Y,derived:PRBD01N001
KR6192521FA2,장내,1,AA+,2,crd_grd,611,1-3년,Y,N,Y,derived:PRBD01N001
KR6192522G76,장내,1,AA+,2,crd_grd,1067,1-3년,Y,N,Y,derived:PRBD01N001
KR6205492G72,장내,1,AA,3,crd_grd,1053,1-3년,Y,N,Y,derived:PRBD01N001
KR6205493G55,장내,1,AA,3,crd_grd,993,1-3년,Y,N,Y,derived:PRBD01N001
KR6205495G20,장내,1,AA,3,crd_grd,903,1-3년,Y,N,Y,derived:PRBD01N001
KR6205496D48,장내,1,AA,3,crd_grd,595,1-3년,Y,N,Y,derived:PRBD01N001
KR6205499D86,장내,1,AA,3,crd_grd,369,1-3년,Y,N,Y,derived:PRBD01N001
KR6214342F44,장내,1,A,6,crd_grd,167,1년미만,Y,N,Y,derived:PRBD01N001
KR6225988577,장내,1,AAA,1,crd_grd,7851,10년이상,Y,N,Y,derived:PRBD01N001
KR6267262DA8,장내,1,AA-,4,crd_grd,59,1년미만,Y,N,Y,derived:PRBD01N001
KR6280361E26,장내,1,AA,3,crd_grd,189,1년미만,Y,N,Y,derived:PRBD01N001
KR6310103G14,장내,1,A,6,crd_grd,511,1-3년,Y,N,Y,derived:PRBD01N001
KR6310107F60,장내,1,A,6,crd_grd,308,1년미만,Y,N,Y,derived:PRBD01N001
KR6316141BA9,장내,1,AA-,4,crd_grd,54,1년미만,Y,N,Y,derived:PRBD01N001
KR6316141E66,장내,1,AA-,4,crd_grd,1033,1-3년,Y,N,Y,derived:PRBD01N001
KR6316141FA0,장내,1,AA-,4,crd_grd,1523,3-5년,Y,N,Y,derived:PRBD01N001
KR6316141G56,장내,1,AAA,1,crd_grd,264,1년미만,Y,N,Y,derived:PRBD01N001
KR6330591G86,장내,1,AA-,4,crd_grd,357,1년미만,Y,N,Y,derived:PRBD01N001
KR642274VC36,장내,1,AAA,1,crd_grd,40,1년미만,Y,N,Y,derived:PRBD01N001
KR644640KCA8,장내,1,AAA,1,crd_grd,264,1년미만,Y,N,Y,derived:PRBD01N001
KR6451802F78,장내,1,AA-,4,crd_grd,686,1-3년,Y,N,Y,derived:PRBD01N001
KR6453782G51,장내,1,A,6,crd_grd,629,1-3년,Y,N,Y,derived:PRBD01N001
KR6456041F45,장내,1,A+,5,crd_grd,229,1년미만,Y,N,Y,derived:PRBD01N001
KR6462296D62,장내,1,BBB-,10,crd_grd,672,1-3년,Y,N,Y,derived:PRBD01N001
KR646808KDA7,장내,1,AAA,1,crd_grd,630,1-3년,Y,N,Y,derived:PRBD01N001
KR646934TDA2,장내,1,AAA,1,crd_grd,247,1년미만,Y,N,Y,derived:PRBD01N001
KR647021ADN0,장내,1,AAA,1,crd_grd,728,1-3년,Y,N,Y,derived:PRBD01N001
KR647892KE46,장내,1,AAA,1,crd_grd,810,1-3년,Y,N,Y,derived:PRBD01N001
KR648985BE84,장내,1,AAA,1,crd_grd,28,1년미만,Y,N,Y,derived:PRBD01N001
KR101501DBC1,장외,1,,,,132,1년미만,Y,N,Y,derived:PRBD01N001
KR648985ME81,장내,1,AAA,1,crd_grd,331,1년미만,Y,N,Y,derived:PRBD01N001
KR648985NE80,장내,1,AAA,1,crd_grd,362,1년미만,Y,N,Y,derived:PRBD01N001
KR648985PE88,장내,1,AAA,1,crd_grd,393,1-3년,Y,N,Y,derived:PRBD01N001
KR648985WE89,장내,1,AAA,1,crd_grd,575,1-3년,Y,N,Y,derived:PRBD01N001
KR6493041E98,장내,1,AAA,1,crd_grd,402,1-3년,Y,N,Y,derived:PRBD01N001
KR649371TE92,장내,1,AAA,1,crd_grd,432,1-3년,Y,N,Y,derived:PRBD01N001
KR649393KEA5,장내,1,AAA,1,crd_grd,994,1-3년,Y,N,Y,derived:PRBD01N001
KR6495542EA5,장내,1,AAA,1,crd_grd,434,1-3년,Y,N,Y,derived:PRBD01N001
KR649633QEA1,장내,1,AAA,1,crd_grd,70,1년미만,Y,N,Y,derived:PRBD01N001
KR649633YEA5,장내,1,AAA,1,crd_grd,557,1-3년,Y,N,Y,derived:PRBD01N001
KR649759REB0,장내,1,AAA,1,crd_grd,188,1년미만,Y,N,Y,derived:PRBD01N001
KRC0350C2868,장내,1,,,,659,1-3년,Y,N,Y,derived:PRBD01N001
KRC0350C3031,장내,1,,,,1297,3-5년,Y,N,Y,derived:PRBD01N001
KRC0350C31C0,장내,1,,,,1937,5-10년,Y,N,Y,derived:PRBD01N001
KRC0350C37C7,장내,1,,,,4129,10년이상,Y,N,Y,derived:PRBD01N001
KRC0350C4096,장내,1,,,,5134,10년이상,Y,N,Y,derived:PRBD01N001
KRC0350C4591,장내,1,,,,6960,10년이상,Y,N,Y,derived:PRBD01N001
KRC0350C5838,장내,1,,,,11524,10년이상,Y,N,Y,derived:PRBD01N001
KRC0350C7438,장내,1,,,,17368,10년이상,Y,N,Y,derived:PRBD01N001
KRC0350C7495,장내,1,,,,17552,10년이상,Y,N,Y,derived:PRBD01N001
KRC035AP27C1,장내,1,,,,476,1-3년,Y,N,Y,derived:PRBD01N001
KRC035FP4191,장내,1,,,,5499,10년이상,Y,N,Y,derived:PRBD01N001
KRC035LP5638,장내,1,,,,10794,10년이상,Y,N,Y,derived:PRBD01N001
KR101501DC63,장외,1,,,,313,1년미만,Y,N,Y,derived:PRBD01N001
KR103502GA67,장외,1,,,,1389,3-5년,Y,Y,Y,derived:PRBD01N001
KR103502GF96,장외,1,,,,10612,10년이상,Y,Y,Y,derived:PRBD01N001
KR103503GG37,장외,1,,,,1662,3-5년,Y,Y,Y,derived:PRBD01N001
KR2001024D12,장외,1,,,,1259,3-5년,Y,Y,Y,derived:PRBD01N001
KR2001024D79,장외,1,,,,1440,3-5년,Y,Y,Y,derived:PRBD01N001
KR2001024DB0,장외,1,,,,1562,3-5년,Y,Y,Y,derived:PRBD01N001
KR2001024E52,장외,1,,,,1744,3-5년,Y,Y,Y,derived:PRBD01N001
KR2001024F51,장외,1,,,,2110,5-10년,Y,Y,Y,derived:PRBD01N001
KR2002022F69,장외,1,,,,1409,3-5년,Y,N,Y,derived:PRBD01N001
KR2003012D12,장외,1,,,,528,1-3년,Y,N,Y,derived:PRBD01N001
KR2003022G17,장외,1,,,,1624,3-5년,Y,N,Y,derived:PRBD01N001
KR2004022F99,장외,1,,,,1501,3-5년,Y,N,Y,derived:PRBD01N001
KR2004022FC4,장외,1,,,,1593,3-5년,Y,N,Y,derived:PRBD01N001
KR2006014F37,장외,1,,,,1318,3-5년,Y,N,Y,derived:PRBD01N001
KR2006014FB1,장외,1,,,,1562,3-5년,Y,Y,Y,derived:PRBD01N001
KR2006022C30,장외,1,,,,222,1년미만,Y,N,Y,derived:PRBD01N001
KR2006024CA9,장외,1,,,,436,1-3년,Y,Y,Y,derived:PRBD01N001
KR2006024E93,장외,1,,,,1136,3-5년,Y,Y,Y,derived:PRBD01N001
KR2006034E59,장외,1,,,,1014,1-3년,Y,Y,Y,derived:PRBD01N001
KR2007024E59,장외,1,,,,1014,1-3년,Y,N,Y,derived:PRBD01N001
KR2008012C38,장외,1,,,,222,1년미만,Y,N,Y,derived:PRBD01N001
KR2008012D52,장외,1,,,,649,1-3년,Y,N,Y,derived:PRBD01N001
KR2022022C78,장외,1,,,,344,1년미만,Y,N,Y,derived:PRBD01N001
KR2022022C86,장외,1,,,,375,1-3년,Y,Y,Y,derived:PRBD01N001
KR2033022CB8,장외,1,,,,466,1-3년,Y,N,Y,derived:PRBD01N001
KR2033022E81,장외,1,,,,1106,3-5년,Y,N,Y,derived:PRBD01N001
KR2044022CC3,장외,1,,,,497,1-3년,Y,N,Y,derived:PRBD01N001
KR2055022F59,장외,1,,,,1379,3-5년,Y,N,Y,derived:PRBD01N001
KR2099012CA2,장외,1,,,,436,1-3년,Y,N,Y,derived:PRBD01N001
KR2099022EC3,장외,1,,,,1228,3-5년,Y,N,Y,derived:PRBD01N001
KR2101012G45,장외,1,,,,1713,3-5년,Y,N,Y,derived:PRBD01N001
KR310504GB32,장외,1,AA,3,crd_grd,1663,3-5년,Y,N,Y,derived:PRBD01N001
KR351605G834,장외,1,AAA,1,crd_grd,2408,5-10년,Y,N,Y,derived:PRBD01N001
KR355001DG25,장외,1,AA+,2,crd_grd,922,1-3년,Y,N,Y,derived:PRBD01N001
KR356102GG85,장외,1,AAA,1,crd_grd,1446,3-5년,Y,N,Y,derived:PRBD01N001
KR356502DEB7,장외,1,AA,3,crd_grd,466,1-3년,Y,N,Y,derived:PRBD01N001
KR356503DEA7,장외,1,AA,3,crd_grd,436,1-3년,Y,N,Y,derived:PRBD01N001
KR357002DG46,장외,1,AA,3,crd_grd,983,1-3년,Y,N,Y,derived:PRBD01N001
KR380602GF99,장외,1,AAA,1,crd_grd,194,1년미만,Y,N,Y,derived:PRBD01N001
KR380602GFA7,장외,1,AAA,1,crd_grd,237,1년미만,Y,N,Y,derived:PRBD01N001
KR380602GG64,장외,1,AAA,1,crd_grd,299,1년미만,Y,N,Y,derived:PRBD01N001
KR380602GG80,장외,1,AAA,1,crd_grd,365,1년미만,Y,N,Y,derived:PRBD01N001
KR380604GEC2,장외,1,AAA,1,crd_grd,118,1년미만,Y,N,Y,derived:PRBD01N001
KR6000011F88,장외,1,AAA,1,crd_grd,349,1년미만,Y,N,Y,derived:PRBD01N001
KR6000112E20,장외,1,AAA,1,crd_grd,2010,5-10년,Y,N,Y,derived:PRBD01N001
KR6000123B20,장외,1,AA-,4,crd_grd,532,1-3년,Y,Y,Y,derived:PRBD01N001
KR60006H1F54,장외,1,AAA,1,crd_grd,4,1년미만,Y,N,Y,derived:PRBD01N001
KR6001081G15,장외,1,,,,1620,3-5년,Y,N,Y,derived:PRBD01N001
KR60010M7F27,장외,1,,,,41,1년미만,Y,N,Y,derived:PRBD01N001
KR6001451EC2,장외,1,AA,3,crd_grd,3053,5-10년,Y,N,Y,derived:PRBD01N001
KR60018P2F93,장외,1,AAA,1,crd_grd,108,1년미만,Y,N,Y,derived:PRBD01N001
